Feature	Gain	Cover	Frequency
mcuenta_debitos_automaticos	0.00597424939725396	0.0153112669126572	0.0114099205968266
ccomisiones_mantenimiento	0.00541827461370761	0.0114514598592715	0.00514269257669469
ccajas_consultas	0.00529575836920391	0.0137252641638148	0.00400444328638626
mttarjeta_visa_debitos_automaticos	0.00516464591659831	0.00946645502495789	0.0118624775435758
Master_mlimitecompra	0.00459478954271971	0.00752549268490273	0.0101482466846775
Visa_mlimitecompra	0.00429557567272175	0.00636319848367513	0.00892771431314198
Master_mpagospesos	0.00426030871739417	0.0131366307532928	0.00951740972860297
ctransferencias_recibidas	0.00421866735174341	0.00792164908830112	0.00921570509743688
ctarjeta_debito_transacciones	0.00410016582246036	0.010170211874906	0.0132201483838231
mpagomiscuentas	0.00399438229372578	0.0137034828720699	0.00859858198823352
internet	0.00389881360345049	0.0101234901272575	0.00382616327706085
ccaja_ahorro	0.00362338241548901	0.0113948403246232	0.00415529560196931
ccallcenter_transacciones	0.00361025788481888	0.0101382744591016	0.00430614791755235
Visa_mconsumosdolares	0.00338455774976353	0.0100503161551044	0.00861229583510471
tcallcenter	0.00322945479337127	0.00329693133811958	0.00270162783362361
Master_msaldototal	0.00321176742323749	0.00847525944556164	0.00582838492025398
Master_msaldopesos	0.00303885212607915	0.00486508895776289	0.00566381875779975
thomebanking	0.00302525456845233	0.00253606212590164	0.00404558482699982
Master_mpagominimo	0.00297656711463112	0.00749815863678089	0.00585581261399635
ctransferencias_emitidas	0.0028556403255924	0.0116939424755136	0.00684320958872173
cdescubierto_preacordado	0.00255645156644819	0.0101219699130218	0.00255077551804057
ctarjeta_visa	0.00242793316158779	0.000241729961154835	0.000274276937423717
cpagomiscuentas	0.00236227385344487	0.00429375320059434	0.00467642178307437
mextraccion_autoservicio	0.00225116787077898	0.00415704073181194	0.00549925259534552
Master_mconsumospesos	0.0021836293891694	0.00674095930121646	0.0052249756579218
mplazo_fijo_dolares	0.0021817062059439	0.0127035977282298	0.00330503709595579
cmobile_app_trx	0.00217967446723209	0.0036313730051696	0.00549925259534552
ctarjeta_visa_debitos_automaticos	0.00214368138406778	0.0050464847954325	0.0047449910174303
ctarjeta_debito	0.00200623792264562	0.00364086788571676	0.00440214484565065
Master_fultimo_cierre	0.00190337559872687	0.00540043140729008	0.00422386483632524
tmobile_app	0.00172563748380887	0.00777928499953627	0.00172794470576942
matm	0.00168233827392398	0.00593848142792348	0.00389473251141678
ccajas_transacciones	0.00167642922877324	0.00143288836078082	0.000836544659142336
Visa_mconsumototal	0.00165048858476758	0.00177296674375214	0.00342846171779646
mtarjeta_master_consumo	0.00155933835884153	0.00226357415698019	0.00229021242748803
ccuenta_debitos_automaticos	0.00145493737821904	0.0041663453371786	0.00344217556466765
Visa_fultimo_cierre	0.00144064734394396	0.00172948066777612	0.00308561554601681
cextraccion_autoservicio	0.00139002323248801	0.00271169207912011	0.00311304323975919
ctarjeta_master_transacciones	0.00103072563777721	0.00123625312060052	0.00142624007460333
Visa_mpagado	0.000990922280583137	0.00527413538683501	0.00259191705865412
Master_cconsumos	0.000959869524042651	0.00102756248217005	0.00197479394945076
catm_trx	0.000919598978337024	0.00509736676334582	0.00250963397742701
catm_trx_other	0.00069646007329388	0.00472464302166613	0.00179651394012534
Visa_msaldodolares	0.00064888605592324	0.00371409899010425	0.00187879702135246
Visa_mpagosdolares	0.000575598171148919	0.00377802747633322	0.00172794470576942
matm_other	0.000564892718488608	0.00253800809948385	0.0016456616245423
ccajas_otras	0.000516906656961471	0.00524312152601891	0.00108339390282368
Master_mconsumototal	0.000450887255239965	0.00178108001783207	0.00108339390282368
mttarjeta_master_debitos_automaticos	0.000405111516681214	0.00598497564023861	0.00143995392147451
cseguro_vivienda	0.000318480042147198	0.00232420437447995	0.000863972352884708
cplazo_fijo	0.000288577847507899	0.00115402294409964	0.000425129253006761
cseguro_vida	0.000237743658356826	0.00353035973722215	0.000836544659142336
Master_mconsumosdolares	0.000211819938332206	0.000210595377443537	0.000521126181105062
ccajas_extracciones	0.000197622106735442	0.00393724159981542	0.000891400046627079
ctarjeta_master_debitos_automaticos	0.000180104925207673	0.000227548746984754	0.000274276937423717
cseguro_accidentes_personales	0.000170378825871661	0.00045872265843961	0.000383987712393203
tcuentas	0.000146399800399678	0.00348937704671479	0.000644550802945734
active_quarter	0.000136437028022122	0.000299847850749257	0.000301704631166088
ccheques_depositados	0.000128535729815981	0.000811198239463144	0.000137138468711858
Visa_delinquency	0.00011624045440399	0.0000447201322380113	0.000178280009325416
Master_mpagosdolares	0.0000795797511434246	0.000103717858241444	0.000191993856196602
ctarjeta_visa_descuentos	0.0000615071733109917	0.00186191616781478	0.000383987712393203
cinversion2	0.0000530937917252309	0.000892318063409458	0.000150852315583044
Master_madelantopesos	0.0000508927639664713	0.00000874222545983253	0.0000137138468711858
Master_msaldodolares	0.0000434466781941462	0.0000420736677824491	0.000109710774969487
Master_mpagado	0.0000413346040750424	0.0000605164498331034	0.000082283081227115
cinversion1	0.0000329765976929438	0.000648958591570515	0.000109710774969487
mcheques_depositados	0.0000262455997423855	0.000162239647892629	0.0000274276937423717
Master_cadelantosefectivo	0.00000641195525567662	0.00000813264935940549	0.0000274276937423717
Master_delinquency	0.00000479324635849368	0.0000348506629543247	0.0000274276937423717
Visa_madelantodolares	0.00000141643830626226	0.0000132377871002272	0.0000274276937423717
cforex	0.000000308269270540443	0.0000272217708612868	0.0000274276937423717
mforex_sell	0.000000159011726197078	0.0000170333546693083	0.0000137138468711858
Visa_madelantopesos	0.00000000108828078022159	0.0000252241298671408	0.0000411415406135575
Visa_cadelantosefectivo	0.0000000000418695828239251	0.0000119257329182974	0.0000137138468711858
