rank	envios	tipo	mean	sd	n
4	16500	public	377767500	6550793.47747798	10
4	17000	public	371845833.3	5957510.76800756	10
4	17500	public	367620000.1	8528689.78445006	10
4	18000	public	363568333.3	7889939.18631213	10
4	18500	public	355932500	6012452.88439228	10
4	19000	public	350909166.6	5960205.55497299	10
4	4000	private	268203571.4	2463506.45162303	10
4	4500	private	281344642.8	3525380.61729872	10
4	5000	private	298084285.7	4334037.2950385	10
4	5500	private	314721785.7	5911871.33546445	10
4	6000	private	325254285.8	3902679.73972813	10
4	6500	private	335472500.1	5118950.26380182	10
4	7000	private	344001428.6	2774719.91177457	10
4	7500	private	347470357.1	3695273.37958886	10
4	8000	private	349462142.8	3575129.56831313	10
4	8500	private	351835000	3409281.78560395	10
4	9000	private	355095714.3	5196641.9276573	10
4	9500	private	363054999.8	4597312.63328269	10
4	10000	private	371163571.6	4722855.16580443	10
4	10500	private	374652142.7	6676625.03463609	10
4	11000	private	378671071.4	4830011.26475544	10
4	11500	private	379653214.4	5808692.27613419	10
4	12000	private	378745714.3	3908782.4770019	10
4	12500	private	380093214.2	2909233.12875754	10
4	13000	private	380521428.5	3552021.3571508	10
4	13500	private	379665000.1	4272171.69762799	10
4	14000	private	379071785.7	4128322.3376703	10
4	14500	private	375213928.7	4100104.10848825	10
4	15000	private	370629285.7	5273717.54535723	10
4	15500	private	365950357.1	3464597.39756945	10
4	16000	private	360450357.2	3919938.81722582	10
4	16500	private	354156785.7	4153377.38518067	10
4	17000	private	346794642.9	4806050.28218697	10
4	17500	private	342634285.6	5738111.58129268	10
4	18000	private	335099285.8	6395245.53079205	10
4	18500	private	327686071.4	5883113.53304126	10
4	19000	private	321824642.9	5794090.27166686	10
5	4000	public	253293333.4	5144924.15207624	10
5	4500	public	270490000.1	6068151.8030362	10
5	5000	public	282296666.7	11629365.6584591	10
5	5500	public	296248333.2	8702681.37607352	10
5	6000	public	306863333.4	6343674.81247422	10
5	6500	public	321181666.6	7590556.07848446	10
5	7000	public	332960833.5	4648071.51172252	10
5	7500	public	345253333.3	8643518.15068579	10
5	8000	public	350001666.8	8348189.37622013	10
5	8500	public	354255000	5977841.17066759	10
5	9000	public	351945000	7969343.28246084	10
5	9500	public	359104166.5	8250820.52113083	10
5	10000	public	363412500	7287644.02093887	10
5	10500	public	370883333.4	7715504.5907255	10
5	11000	public	374595833.4	5551407.11947637	10
5	11500	public	381278333.4	7325206.24486118	10
5	12000	public	389335833.4	8424366.64672159	10
5	12500	public	395459166.8	9546100.54234544	10
5	13000	public	401270833.5	10266052.8670685	10
5	13500	public	404140000.1	7409429.33056868	10
5	14000	public	404653333.3	9100345.40700463	10
