Feature	Gain	Cover	Frequency
cpagomiscuentas	0.00245224331830036	0.00485191429428365	0.00526798451192174
cmobile_app_trx	0.00240242656207241	0.00272938746960961	0.00462604442632973
ctarjeta_visa_debitos_automaticos	0.0023783715973107	0.00567282681403019	0.00529855308742613
Master_mconsumospesos	0.00227822726849253	0.00725379060052323	0.00524760546158549
Master_fultimo_cierre	0.00213273493791479	0.00509467083779066	0.00433054819645405
ctarjeta_debito	0.00205750755485803	0.00369017676333228	0.00415732626859588
matm	0.00194938826832989	0.00535812012754149	0.00523741593641736
mtarjeta_master_consumo	0.00194751891472028	0.00299365885296663	0.00265946606888119
ccuenta_debitos_automaticos	0.00188997143833421	0.00406779455194387	0.00439168534746281
Visa_fultimo_cierre	0.00171369403927028	0.00241314110271339	0.00358671285918076
mplazo_fijo_dolares	0.00159191206578407	0.0121921699161174	0.00293458324842062
tmobile_app	0.00156015022191319	0.00720968234677606	0.00146729162421031
ccajas_transacciones	0.00154614025000901	0.00237124384598666	0.0011616058691665
Master_mconsumototal	0.00130247100103157	0.00381362682266006	0.00284287752190748
catm_trx	0.00127383052214698	0.00415750367189545	0.00300590992459751
Master_cconsumos	0.00126574190885428	0.00171632682381334	0.00273079274505808
ctarjeta_master_transacciones	0.00115144549162943	0.00194523541791412	0.00166089260240473
Visa_mpagosdolares	0.000999180264007615	0.0035002950787529	0.00205828408396169
Visa_mpagado	0.00090032165529426	0.00380933286939917	0.00199714693295292
Visa_msaldodolares	0.000874783499087852	0.00367925859439063	0.00181373547992664
catm_trx_other	0.00078123523907521	0.00574039883987379	0.00204809455879356
matm_other	0.000697274629969904	0.00363617785793097	0.00199714693295292
mttarjeta_master_debitos_automaticos	0.000493625872607336	0.00691978804882365	0.00160994497656409
cplazo_fijo	0.000433305839822699	0.00194074322082875	0.000580802934583248
Master_mconsumosdolares	0.000429141341194988	0.000389448597131585	0.000886488689627064
ccajas_otras	0.000334394640072067	0.00449237578403244	0.000896678214795191
cseguro_vida	0.000306240116956239	0.00286051359364267	0.00075402486244141
tcuentas	0.000303626130950279	0.00524535090299928	0.000957815365803954
cseguro_vivienda	0.000290062411670744	0.0031338080626211	0.000876299164458936
Master_mpagosdolares	0.000210787889705054	0.000135723625685167	0.000427960057061341
active_quarter	0.000204572234415108	0.000372494960768626	0.000458528632565723
ccheques_depositados	0.000171844728354609	0.00103560898614781	0.000163032402690035
ctarjeta_master_debitos_automaticos	0.000169398123467832	0.000235439870523791	0.000295496229875688
cseguro_accidentes_personales	0.000150529567826004	0.000348613560333676	0.000305685755043815
Master_msaldodolares	0.000127172665876035	0.000275792261390844	0.000285306704707561
ccajas_extracciones	0.000121524555531282	0.00354706666050034	0.00068269818626452
Master_mpagado	0.000101951524713223	0.000147089339035428	0.000203790503362543
cinversion1	0.000081813334555473	0.00188496291317355	0.000295496229875688
mcheques_depositados	0.0000759066350135675	0.000455117960917184	0.0000815162013450173
Visa_delinquency	0.0000710210355227791	0.000168673185287129	0.000183411453026289
cinversion2	0.0000692666062876524	0.00123307499281752	0.000193600978194416
Master_cadelantosefectivo	0.0000685205776058325	0.0000224561988556536	0.000061137151008763
Visa_madelantopesos	0.0000676524766285675	0.0000391497648492583	0.000112084776849399
Master_madelantopesos	0.0000620476758475124	0.0000586586324792125	0.00014265335235378
minversion2	0.0000545239167648821	0.000724398491050816	0.000152842877521907
mtarjeta_visa_descuentos	0.0000370956504515999	0.000816997503373517	0.000163032402690035
Master_delinquency	0.0000358474985636767	0.0000181801952368287	0.000061137151008763
Master_madelantodolares	0.0000311687974410478	0.0000337102255442289	0.0000407581006725087
ctarjeta_visa_descuentos	0.0000302213197535612	0.000854367461492626	0.000163032402690035
Visa_madelantodolares	0.0000110649300905846	0.0000268857716342964	0.0000713266761768902
Visa_cadelantosefectivo	0.00000400368760716809	0.00000589825237981011	0.0000101895251681272
