primo	envios	tipo	ganancia	rank
188179	18000	public	373450000	2
188179	18500	public	370975000	2
188179	19000	public	361350000	2
188179	4000	private	263842857	2
188179	4500	private	289496429	2
188179	5000	private	299475000	2
188179	5500	private	309100000	2
188179	6000	private	320375000	2
188179	6500	private	328664286	2
188179	7000	private	344496429	2
188179	7500	private	357617857	2
188179	8000	private	359896429	2
188179	8500	private	363510714	2
188179	9000	private	364217857	2
188179	9500	private	364217857	2
188179	10000	private	372192857	2
188179	10500	private	378360714	2
188179	11000	private	380639286	2
188179	11500	private	379892857	2
188179	12000	private	381621429	2
188179	12500	private	378910714	2
188179	13000	private	378950000	2
188179	13500	private	377850000	2
188179	14000	private	382917857	2
188179	14500	private	378517857	2
188179	15000	private	377064286	2
188179	15500	private	366496429	2
188179	16000	private	362410714	2
188179	16500	private	356400000	2
188179	17000	private	353846429	2
188179	17500	private	347246429	2
188179	18000	private	336521429	2
188179	18500	private	330510714	2
188179	19000	private	325992857	2
405157	4000	public	256575000	2
405157	4500	public	280133333	2
405157	5000	public	302591667	2
405157	5500	public	303508333	2
405157	6000	public	318450000	2
405157	6500	public	326241667	2
405157	7000	public	347416667	2
405157	7500	public	355025000	2
405157	8000	public	352183333	2
405157	8500	public	354200000	2
405157	9000	public	362541667	2
405157	9500	public	374091667	2
405157	10000	public	379041667	2
405157	10500	public	384358333	2
405157	11000	public	377850000	2
405157	11500	public	382708333	2
405157	12000	public	390316667	2
405157	12500	public	391050000	2
405157	13000	public	392333333	2
405157	13500	public	385275000	2
405157	14000	public	390133333	2
405157	14500	public	406450000	2
405157	15000	public	403608333	2
405157	15500	public	400308333	2
405157	16000	public	398200000	2
405157	16500	public	392883333	2
405157	17000	public	382158333	2
405157	17500	public	383350000	2
405157	18000	public	381883333	2
405157	18500	public	375375000	2
405157	19000	public	371433333	2
405157	4000	private	271896429	2
405157	4500	private	284585714	2
405157	5000	private	296175000	2
405157	5500	private	316996429	2
405157	6000	private	325521429	2
405157	6500	private	344967857	2
405157	7000	private	352392857	2
405157	7500	private	348346429	2
405157	8000	private	351921429	2
405157	8500	private	359700000	2
405157	9000	private	358482143	2
405157	9500	private	365317857	2
405157	10000	private	370267857	2
405157	10500	private	370346429	2
405157	11000	private	378635714	2
405157	11500	private	383625000	2
405157	12000	private	382721429	2
405157	12500	private	381621429	2
405157	13000	private	381857143	2
405157	13500	private	376239286	2
405157	14000	private	373371429	2
405157	14500	private	365592857	2
