Feature	Gain	Cover	Frequency
Master_status	0.0116281995035423	0.00451512971329195	0.0014939879035173
Master_mfinanciacion_limite	0.0115879137220154	0.0153602312602066	0.0229399432927172
chomebanking_transacciones	0.0111937469142253	0.0172147518756827	0.0210041847725685
Visa_status	0.011114917010461	0.00833784836396358	0.00179117904561482
ctarjeta_debito_transacciones	0.0110525273404662	0.0122896416868733	0.0133414726222701
mtransferencias_recibidas	0.0106331544979275	0.0147762873864409	0.0184740439682246
mcomisiones_mantenimiento	0.0104454720681644	0.0128262300774552	0.0107952674318669
mcomisiones	0.01016974888866	0.0128626233536728	0.0187471385312332
Visa_mfinanciacion_limite	0.00999315793547402	0.0133486695987109	0.0188997501987968
Visa_mconsumospesos	0.00947799008606525	0.00939270088889858	0.0187632029172925
Visa_mconsumototal	0.00933042305082432	0.00671347218103699	0.0132290219198548
ccomisiones_mantenimiento	0.00822678881314713	0.0102166641210695	0.0053253439786665
mcaja_ahorro_dolares	0.00822320365355204	0.0137538808208273	0.0147310420164017
Master_mlimitecompra	0.00814441086325999	0.0108484666851105	0.0156145832496647
ccomisiones_otras	0.00806035666931967	0.0172050026726283	0.012843476654431
Visa_cconsumos	0.00791669112359281	0.0094859123423576	0.0149961043863806
Visa_mlimitecompra	0.00759277249984082	0.0109693504220798	0.0143615611370372
mtransferencias_emitidas	0.00730702650675738	0.0160599980543607	0.0144097542952152
ctarjeta_master	0.00683257605246436	0.000537985872171869	0.000594382284195054
mttarjeta_visa_debitos_automaticos	0.00651637484000821	0.0109026601619606	0.0131085390244098
mcuenta_debitos_automaticos	0.00632603818776408	0.0149978040127815	0.00944585900288356
ccaja_seguridad	0.00602947278870442	0.0134746833313903	0.0023373681716319
ccajas_consultas	0.00548123783335545	0.0105988067885846	0.00254620519040314
ctransferencias_recibidas	0.00526123467046659	0.00798934223174471	0.00944585900288356
mpagomiscuentas	0.00470767563893035	0.01305542495538	0.00877918698142154
ctarjeta_visa	0.0046039098800186	0.000756296567079999	0.000626511056313705
Master_msaldopesos	0.00452467779138236	0.00738744147767467	0.00792777452027727
Master_msaldototal	0.00425801692657049	0.00810285760172281	0.0071647161824593
Visa_mconsumosdolares	0.00419716319222581	0.00731717064481066	0.00743781074546784
mextraccion_autoservicio	0.00418825511895086	0.00571661577386086	0.0071647161824593
cextraccion_autoservicio	0.00418221139097345	0.00355791673786681	0.00438557739419594
ccallcenter_transacciones	0.00405634828273106	0.00807365484843326	0.00326107037004313
Master_mpagospesos	0.00397674269199405	0.011678599179364	0.00762255118515008
Master_mpagominimo	0.00379937740211572	0.00856789202874021	0.00685949284733211
ctransferencias_emitidas	0.00364994256116409	0.0117382290617665	0.00734142442911188
ctarjeta_visa_debitos_automaticos	0.00302466382016327	0.00583290209964991	0.00604824135133616
internet	0.0028937889777285	0.0083873452412927	0.00285946071855999
ccaja_ahorro	0.00282215361587934	0.00798114055633707	0.00239359352283954
thomebanking	0.00281318837050205	0.00331195113320239	0.00356629370517032
cdescubierto_preacordado	0.00276716427323181	0.00856841387313143	0.00203214483650471
cmobile_app_trx	0.00265640565445584	0.00283081092039182	0.00472292950144178
cpagomiscuentas	0.00262855598673033	0.00484471930221584	0.00518076450413256
matm	0.00259685672991469	0.00530413758429901	0.00518879669716223
tcallcenter	0.00247178698160938	0.00268559887371702	0.00166266395714022
Master_mconsumospesos	0.00238088511517505	0.00683833040113592	0.00533337617169616
Master_fultimo_cierre	0.00228524984702423	0.00608314291133047	0.00449802809661122
ctarjeta_debito	0.00223445174892952	0.00327785340371054	0.00420083695451369
ccuenta_debitos_automaticos	0.0022321143845754	0.00395850622554752	0.00400003212877212
mtarjeta_master_consumo	0.0022170762222151	0.00310829125116617	0.00280323536735235
Visa_fultimo_cierre	0.00183612593260592	0.00267114643752652	0.00359039028425931
Master_mconsumototal	0.00162257139364432	0.00391634296770167	0.0031164908955092
ctarjeta_master_transacciones	0.00159985537654574	0.00153710971218101	0.00138956939413168
Master_cconsumos	0.00156229032951668	0.00176204896804869	0.00285946071855999
tmobile_app	0.00152567144532576	0.0055064293621837	0.00111647483112314
catm_trx	0.00147107405109907	0.0047483218181698	0.00324500598398381
mplazo_fijo_dolares	0.00136443729455643	0.0103338943155274	0.00236949694375055
Visa_mpagosdolares	0.00107593742674889	0.00342301680387428	0.00220885308315729
Visa_mpagado	0.000982280507134329	0.00353594430919618	0.00201608045044539
Visa_msaldodolares	0.000878846486122001	0.00412766941352403	0.0018393722037928
matm_other	0.000847370016319186	0.00297851436338228	0.00191166194105977
catm_trx_other	0.000832843924674071	0.00662339368924385	0.00217672431103864
ccajas_transacciones	0.000771333696023435	0.00178044303517959	0.000819283689025615
mttarjeta_master_debitos_automaticos	0.000534662741416596	0.00487391099948014	0.0013413762359537
Master_mconsumosdolares	0.000444951758900723	0.000351513055197043	0.000795187109936626
cplazo_fijo	0.000407216135076074	0.00187800013832983	0.000586350091165391
Master_mpagosdolares	0.000363191279817741	0.00026815694263476	0.000626511056313705
ccajas_otras	0.000357175332562858	0.00475743608948918	0.000931734391440895
cseguro_vivienda	0.000303857792713001	0.00301733554274204	0.000907637812351906
tcuentas	0.0002977304631673	0.00498554084332559	0.000875509040233255
active_quarter	0.000291536727186536	0.000606899656909583	0.000586350091165391
cseguro_vida	0.000256462639085734	0.00240997785050119	0.000618478863284043
cseguro_accidentes_personales	0.000179526451477839	0.000558349491227226	0.000401609651483144
Master_msaldodolares	0.000173794007120503	0.000366403941759822	0.000273094563008538
ctarjeta_master_debitos_automaticos	0.000165362309860685	0.000228051053142395	0.00024899798391955
ccajas_extracciones	0.000118154428281155	0.00390685689804786	0.000738961758728986
Visa_delinquency	0.000117756627279153	0.000347360412117826	0.000313255528156853
ccheques_depositados	0.000103493469132129	0.000513520467753388	8.03219302966289e-05
Master_madelantopesos	0.000102786114202064	6.11758306171825e-05	0.000176708246652584
Master_mpagado	0.000101620964089613	0.000673019426126554	0.000265062369978875
Master_cadelantosefectivo	8.17663387274573e-05	5.23253244713205e-05	0.00011245070241528
cinversion1	7.76376209877046e-05	0.0013380241816152	0.000208837018771235
cinversion2	5.88913009863737e-05	0.000876846412087081	0.000136547281504269
Visa_madelantopesos	5.80460325381998e-05	0.000105138377598834	0.000313255528156853
mcheques_depositados	5.30015657989891e-05	0.00025618074021103	4.81931581779773e-05
Master_delinquency	5.14718685536815e-05	0.000118198702268713	0.000168676053622921
Master_madelantodolares	4.2622490029257e-05	2.49095407465948e-05	8.03219302966289e-05
Visa_madelantodolares	3.75108154812847e-05	6.24801257087759e-05	0.00011245070241528
ctarjeta_visa_descuentos	3.70137547280682e-05	0.000810053172989926	0.000160643860593258
mtarjeta_visa_descuentos	2.94907505970123e-05	0.00166407836955456	0.000297191142097527
minversion2	2.06624067454756e-05	0.000261157531000096	5.62253512076402e-05
Visa_cadelantosefectivo	1.95859928176638e-05	2.10039208598278e-05	4.81931581779773e-05
Visa_Finiciomora	1.41182251747976e-05	0.00023501161074551	4.81931581779773e-05
cseguro_auto	1.13150665155112e-05	0.00101288195781472	0.000160643860593258
mcaja_ahorro_adicional	4.10021971718352e-06	6.60180537847861e-05	1.60643860593258e-05
cforex	2.43035053098417e-06	7.98150256219199e-06	8.03219302966289e-06
mforex_sell	1.2196868254351e-06	2.86430025260917e-05	1.60643860593258e-05
