num_iterations	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
1351	0.178156246526789	0.589634132037005	1805	357	0.927222503683032	165			24.4949999999999	-0.000277428654384713		0.702999999999975	infill_ei	0.945000000000164	0.00351566076763979	0.92668237237951	185
1131	0.0564435115651797	0.771889153902194	374	144	0.927198165058411	71			29.0829999999999	-0.00306584449094785		0.122000000000071	infill_ei	0.69399999999996	0.00964982529278773	0.928268426281835	91
2048	0.111351101133958	0.600683656084069	1456	312	0.927157139810549	222			34.6779999999999	-0.00032497529195223		0.771999999999935	infill_ei	1.11400000000049	0.00132492157726883	0.929823570474956	242
1074	0.01407363862568	0.748474445372068	1234	448	0.927140733919436	158			15.5299999999997	-0.000370184485426395		0.608999999999924	infill_ei	0.954000000000178	0.00250227606870145	0.928597782286229	178
2022	0.113535566321177	0.997252699932788	962	213	0.927068403035291	167			35.52	-0.000312388259109897		0.577999999999975	infill_ei	0.959000000000287	0.00240932263655557	0.928474637236424	187
1286	0.0543703839019519	0.563104806535883	839	411	0.927027301355676	200			19.5700000000002	-0.000440366381301429		0.696000000000367	infill_ei	1.05099999999993	0.00152049856466595	0.929929976932569	220
2048	0.167978736004594	0.921156184499375	9	141	0.926866855915988	49			20.2819999999999	-0.0045522274090968		0.126999999999953	infill_ei	0.614000000000033	0.0102690248425532	0.930834074776393	69
1570	0.208029877855669	0.52195656524758	2048	564	0.92684739135193	281			22.3600000000006	-0.000225562455508295		1.27799999999934	infill_ei	1.2529999999997	0.0023651079537892	0.928102787061549	301
1720	0.0113818559879731	0.998161267156255	15	184	0.926769012003209	42			19.5790000000001	-0.00873298549640666		0.123000000000047	infill_ei	0.591999999999985	0.0172879730279932	0.93203347354216	62
2046	0.010147331295611	0.315473431946782	626	3	0.926707014323709	224			123.272	-0.00101592038180945		0.782000000000153	infill_ei	1.11400000000049	0.00279577262135944	0.930092892709673	244
927	0.103381570467286	0.931604672843273	872	347	0.926593795721811	177			14.7809999999999	-0.000258753290221982		0.648000000000138	infill_ei	0.972000000000207	0.00222334191061056	0.928478399541677	197
2045	0.0526755124743224	0.640390562886537	1064	295	0.926564942064313	270			33.5500000000002	-0.000292464463909747		0.990999999999985	infill_ei	1.23700000000008	0.000984045193779158	0.930078025102134	290
1982	0.0994934601945486	0.617608850954766	124	183	0.926521027705268	100			38.2140000000002	-0.00137128792181971		0.300999999999931	infill_ei	0.785999999999831	0.00381725720847373	0.929639824820679	120
1731	0.0452185112510145	0.675557060073716	1697	548	0.926432295784146	62			23.8129999999999	-0.00332561048996741		0.123000000000047	infill_ei	0.664999999999964	0.00918417911277988	0.929255402890536	82
395	0.0102690061027634	0.999818319439034	71	144	0.926412065355388	264			8.54100000000017	-0.000249524796212182		2.00099999999929	infill_ei	1.22100000000046	0.00388321702418182	0.92589798116081	284
2044	0.0265756198271929	0.659897544746905	13	1	0.926348102115141	17			20.2339999999999	-0.0133394358461198		0.0650000000000546	infill_ei	0.504999999999996	0.0465982534036587	0.914384289846583	37
1337	0.0111215920633553	0.581584290211676	2047	700	0.926153775263229	141			19.3000000000002	-0.000530768432969156		0.440999999999804	infill_ei	1.00999999999976	0.00530505575847428	0.925167674719641	161
2027	0.0116011544975688	0.299228398012862	593	1071	0.926133067859117	299			20.491	-0.000269998465561939		1.64500000000044	infill_ei	1.29799999999977	0.00308620638633576	0.927291075434533	319
2047	0.0113701106125173	0.10035040783021	68	479	0.926132332709552	232			20.7930000000006	-0.000904631322738697		1.22299999999996	infill_ei	1.1269999999995	0.00256907668509668	0.930047457230507	252
1246	0.208927343914205	0.396077091461622	10	69	0.926102548450548	112			14.817	-0.000962136723901965		0.289000000000215	infill_ei	0.802000000000135	0.0058629809771109	0.926336768210015	132
2042	0.292381131115378	0.997034640819009	32	297	0.926043141458607	15			25.249	-0.0146291361874848		0.0800000000000409	infill_ei	0.511999999999944	0.0481438283960657	0.915051771678457	35
1906	0.0204230623295168	0.76920276142933	10	983	0.925965116572299	253			16.6910000000007	-0.000194578631334306		0.815999999999804	infill_ei	1.18099999999959	0.00353841873680558	0.926017156486763	273
2043	0.0100604334993611	0.586347124925878	815	903	0.925931044791426	268			23.7370000000001	-0.000213345603886692		1.23999999999978	infill_ei	1.24200000000019	0.00322229641887734	0.92669513041709	288
2045	0.0101373181505522	0.275510430722841	1555	976	0.92592211556268	103			25.7939999999999	-0.00161221283880985		0.298000000000229	infill_ei	0.770999999999731	0.0065915280542386	0.927581582627595	123
1873	0.071673435607001	0.288907109376314	1078	1054	0.92590573264345	287			20.5889999999999	-0.000205300806584444		1.58899999999994	infill_ei	1.28200000000015	0.00268751246046934	0.927488806255285	307
1115	0.10349660942514	0.766149168590917	557	311	0.925847672584917	282			17.4890000000005	-0.000107745504947257		1.26299999999992	infill_ei	1.27299999999923	0.00106677098644719	0.929340945572546	302
1065	0.259196753940266	0.559892455093516	10	415	0.92581531049312	41			13.08	-0.00840192742767888		0.0900000000000318	infill_ei	0.581999999999994	0.0165150621980285	0.931983722202562	61
1821	0.180728117954271	0.332409645704074	8	935	0.925801968401799	269			19.2429999999995	-0.000197667474029701		0.957999999999629	infill_ei	1.22900000000027	0.00315495502133416	0.926683353566068	289
1210	0.132083174432778	0.924793553776813	2048	518	0.925741807243186	143			17.7249999999999	-0.000482539047750089		0.365999999999985	infill_ei	0.902000000000044	0.00580037422462686	0.924148312910496	163
1512	0.0223314586785904	0.100826927299963	153	210	0.925691762579751	276			20	-0.00019538906167299		1.01199999999972	infill_ei	1.26800000000003	0.00182929655404258	0.928713252910198	296
919	0.211676187862246	0.6396737341609	613	255	0.925670352504998	86			18.229	-0.00189886438144819		0.176000000000158	infill_ei	0.826999999999998	0.00639823678388541	0.928518012773577	106
2048	0.107586410930881	0.324734071076293	467	224	0.925646806690991	263			34.0909999999994	-0.000437251985487438		1.03799999999956	infill_ei	1.21600000000035	0.00236948478993992	0.929008542905861	283
1932	0.0104641708824624	0.109855408438392	1066	141	0.925629468122582	296			32.9800000000005	-0.000317024686874885		1.51900000000023	infill_ei	1.30299999999988	0.00185680054158221	0.929197573582822	316
797	0.235323462350497	0.5424474057111	1218	339	0.925604044216069	286			13.3379999999997	-0.000284404030204946		1.55799999999999	infill_ei	1.28999999999996	0.00283299426555162	0.927747411407959	306
1335	0.039173494649112	0.100512339724698	753	201	0.925579461483193	203			19.0149999999999	-0.000186559406837823		0.777000000000044	infill_ei	1.05200000000013	0.00311123889235374	0.926665803626042	223
2040	0.0780925149991827	0.996325775995768	10	388	0.925556290294064	139			19.2950000000001	-0.00082790209170622		0.338000000000193	infill_ei	0.881000000000313	0.00321481232727239	0.928910146073671	159
937	0.0625013600117266	0.998505095149669	416	1109	0.925488116108041	300			8.86999999999989	-9.10462704100259e-05		1.52199999999993	infill_ei	1.33799999999974	0.00275311259946599	0.926315324748164	320
1225	0.237323297047897	0.976441829093545	9	110	0.925468129806326	121			12.7559999999999	-0.0008488527512841		0.338000000000193	infill_ei	0.824000000000069	0.00430494071926097	0.927792171630354	141
1812	0.170042777713737	0.164373214500519	12	230	0.925466228733785	18			18.5350000000001	-0.0124842969914579		0.0639999999999645	infill_ei	0.522000000000048	0.0284409434365421	0.928555775447019	38
647	0.285716360454352	0.85991874584952	2048	971	0.925404221404265	289			6.71799999999985	-0.000162342471250499		1.1860000000006	infill_ei	1.27399999999943	0.00394811929554174	0.924977633640747	309
1965	0.0102862605586027	0.100048030593124	12	767	0.925390726073206	142			20.7490000000003	-0.00116072266848099		0.432000000000244	infill_ei	0.882999999999811	0.00537720944625208	0.927569488085512	162
1047	0.229051691992481	0.606776806689122	1947	479	0.925366927013895	228			14.8919999999998	-0.000237009213311979		1.04399999999987	infill_ei	1.11400000000049	0.00251735597867952	0.927944009702669	248
977	0.108294657111035	0.999768818761868	1722	1059	0.925365003901209	154			10.9649999999997	-0.000409131824631243		0.423999999999978	infill_ei	0.922000000000025	0.00562699798413006	0.924273693034372	174
1961	0.208323087597265	0.734995016973567	10	313	0.925363558619487	160			19.3870000000002	-0.000324863313145195		0.637000000000171	infill_ei	0.951000000000022	0.00277755174055084	0.928032676703033	180
2012	0.0101264372930563	0.974242038424617	843	717	0.925277458663741	168			23.8040000000001	-0.000310060184326081		0.431999999999789	infill_ei	0.952000000000226	0.00348742482715876	0.926930075699223	188
2048	0.0976250886982394	0.774704537251693	2015	630	0.925256911464693	241			24.4970000000003	-0.000340968802637009		1.1889999999994	infill_ei	1.14800000000014	0.00203744235168513	0.929065430315149	261
1835	0.147085539765194	0.953124557966852	837	410	0.925250945096204	216			26.1409999999996	-0.000374537183955783		0.63799999999992	infill_ei	1.09799999999996	0.00203274275557914	0.929189799079675	236
1621	0.0100888133504596	0.993564213391525	1369	1051	0.925138777100814	291			15.4960000000001	-0.000381478255870061		1.17000000000007	infill_ei	1.28499999999985	0.00388173774024624	0.926758317488845	311
